Time,Flight Number,Source,Flight Name,Aircraft,Status
11:25 AM,UK841,Goa (GOI),Vistara,B738 (VT-TGG),Departed 12:07 PM
11:30 AM,AI570,Chennai (MAA),Air India,A20N (VT-EXP),Departed 12:02 PM
11:30 AM,G8141,Goa (GOI),GoAir,A20N (VT-WJQ),Departed 11:54 AM
11:30 AM,SG488,Goa (GOI),SpiceJet,B738 (VT-SGZ),Departed 11:50 AM
11:35 AM,6E5388,Nagpur (NAG),IndiGo,A20N (VT-IZQ),Departed 11:52 AM
11:40 AM,ET641,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATY),Departed 11:43 AM
11:40 AM,6E323,Kolkata (CCU),IndiGo,A320 (VT-IGY),Departed 11:47 AM
11:45 AM,AI961,Nairobi (NBO),Air India,B788 (VT-ANG),Departed 1:03 PM
11:50 AM,SQ421,Singapore (SIN),Singapore Airlines,A359 (9V-SMU),Departed 12:15 PM
11:55 AM,UK960,Delhi (DEL),Vistara,A20N (VT-TNK),Departed 12:12 PM
11:55 AM,6E734,Chandigarh (IXC),IndiGo,A20N (VT-IVU),Departed 12:04 PM
12:00 PM,G82504,Ahmedabad (AMD),GoAir,A320 (VT-GOL),Departed 12:22 PM
12:00 PM,6E375,Coimbatore (CJB),IndiGo,A20N (VT-IVC),Departed 12:17 PM
12:05 PM,SG438,Gorakhpur (GOP),SpiceJet,B738 (VT-SZB),Departed 12:28 PM
12:10 PM,6E578,Varanasi (VNS),IndiGo,A20N (VT-ITZ),Departed 12:19 PM
12:15 PM,G8465,Delhi (DEL),GoAir,A20N (VT-WGM),Departed 12:30 PM
12:15 PM,UK613,Udaipur (UDR),Vistara,B738 (VT-TGH),Departed 12:36 PM
12:15 PM,6E749,Udaipur (UDR),IndiGo,A320 (VT-IEF),Departed 12:25 PM
12:15 PM,6E821,Hyderabad (HYD),IndiGo,A320 (VT-IFM),Departed 12:33 PM
12:25 PM,SG6371,Amritsar (ATQ),SpiceJet,B738 (VT-SGQ),Departed 12:41 PM
12:25 PM,SG6265,Guwahati (GAU),SpiceJet,737,Estimated dep. 12:25 PM
12:25 PM,6.00E+181,Ahmedabad (AMD),IndiGo,A320 (VT-IFG),Departed 12:38 PM
12:25 PM,6E787,Patna (PAT),IndiGo,A20N (VT-IVE),Departed 12:43 PM
12:30 PM,LY74,Tel Aviv (TLV),El Al Israel Airlines,B789 (4X-EDJ),Departed 12:46 PM
12:30 PM,AI669,Bhubaneswar (BBI),Air India,A320 (VT-EDF),Departed 12:57 PM
12:40 PM,G825,Bangkok (BKK),GoAir,A20N (VT-WGF),Departed 12:55 PM
12:40 PM,6E5329,Bengaluru (BLR),IndiGo,A20N (VT-IZK),Departed 12:52 PM
12:45 PM,9I623,Diu (DIU),Alliance Air,AT76 (VT-RKL),Departed 12:49 PM
12:45 PM,UK927,Goa (GOI),Vistara,A320 (VT-TTM),Departed 1:15 PM
12:45 PM,2T717,Kolhapur (KLH),Trujet,ATR,Unknown
12:45 PM,6E1831,Jeddah (JED),IndiGo,A20N (VT-IJA),Departed 1:00 PM
12:45 PM,9I627,Indore (IDR),Alliance Air,ATR,Unknown
12:50 PM,SG246,Varanasi (VNS),SpiceJet,B738 (VT-SLF),Departed 1:02 PM
12:55 PM,6.00E+168,Delhi (DEL),IndiGo,A320 (VT-IFW),Departed 1:18 PM
1:00 PM,MH175,Kuala Lumpur (KUL),Malaysia Airlines,B738 (9M-MXN),Departed 1:22 PM
1:00 PM,6E6219,Goa (GOI),IndiGo,A20N (VT-IZR),Departed 1:06 PM
1:05 PM,SG2875,Kandla (IXY),SpiceJet,DH8D (VT-SUD),Departed 1:05 PM
1:10 PM,IX247,Dubai (DXB),Air India Express (Elephant/Camel Livery),B738 (VT-GHA),Departed 1:31 PM
1:10 PM,6E5344,Chennai (MAA),IndiGo,A320 (VT-IDY),Departed 1:13 PM
1:15 PM,AI921,Riyadh (RUH),Air India,A20N (VT-EXG),Departed 1:23 PM
1:15 PM,BA198,London (LHR),British Airways,B772 (G-YMMU),Departed 1:33 PM
1:15 PM,6E5317,Lucknow (LKO),IndiGo,A320 (VT-IFJ),Departed 1:21 PM
1:20 PM,I5312,Chennai (MAA),AirAsia,A320 (VT-MOD),Departed 2:36 PM
1:20 PM,2T518,Nanded (NDC),Trujet,AT75 (VT-TMK),Departed 6:00 PM
1:20 PM,6E6223,Dehradun (DED),IndiGo,A20N (VT-IJV),Departed 1:36 PM
1:25 PM,AI677,Delhi (DEL),Air India,A20N (VT-CIN),Departed 2:02 PM
1:25 PM,SG6378,Madurai (IXM),SpiceJet,B737 (VT-SLP),Departed 1:39 PM
1:30 PM,EK9889,Dubai (DWC),Emirates,77X,Unknown
1:30 PM,SG6477,Delhi (DEL),BH Air,A320 (LZ-BHM),Departed 1:50 PM
1:35 PM,OG112,Belgaum (IXG),Star Air,E145 (VT-GSE),Departed 1:28 PM
1:40 PM,6.00E+176,Delhi (DEL),IndiGo,A320 (VT-IFE),Departed 1:43 PM
1:50 PM,SG467,Hyderabad (HYD),SpiceJet,B738 (VT-SYZ),Departed 1:55 PM
1:50 PM,6E711,Goa (GOI),IndiGo,A20N (VT-ITY),Departed 2:04 PM
2:05 PM,UK775,Kolkata (CCU),Vistara,B738 (VT-TGE),Departed 2:15 PM
2:10 PM,AI617,Hyderabad (HYD),Air India,A319 (VT-SCN),Departed 3:03 PM
2:10 PM,SG2548,Jabalpur (JLR),SpiceJet,DH8D (VT-SQE),Departed 3:15 PM
2:20 PM,AI643,Udaipur (UDR),Air India,A319 (VT-SCR),Departed 2:27 PM
2:20 PM,6E957,Thiruvananthapuram (TRV),IndiGo,A320 (VT-IDZ),Departed 2:34 PM
