TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
3:30 PM,EK507,Dubai (DXB),Emirates,B77W (A6-EBR),Departed 4:15 PM
3:30 PM,6E917,Vadodara (BDQ),IndiGo,A20N (VT-IVY),Departed 4:12 PM
3:35 PM,SG455,Goa (GOI),SpiceJet,B738 (VT-SYA),Departed 4:07 PM
3:35 PM,SG8163,Jaipur (JAI),SpiceJet,B738 (VT-SYF),Departed 4:19 PM
3:35 PM,6E6097,Delhi (DEL),IndiGo,A320 (VT-IHF),Departed 3:59 PM
3:45 PM,UK902,Delhi (DEL),Vistara,A320 (VT-TTL),Departed 4:41 PM
3:45 PM,6E6175,Mangalore (IXE),IndiGo,A20N (VT-IVC),Departed 4:55 PM
3:45 PM,9I653,Shirdi (SAG),Alliance Air,AT76 (VT-RKG),Departed 5:08 PM
3:50 PM,SG6472,Udaipur (UDR),SpiceJet,B737 (VT-SYO),Departed 4:22 PM
3:50 PM,SG6422,Udaipur (UDR),SpiceJet,737,Unknown
3:55 PM,6E5375,Hyderabad (HYD),IndiGo,A20N (VT-IVZ),Departed 4:24 PM
3:55 PM,6E6177,Bengaluru (BLR),IndiGo,A320 (VT-IEV),Departed 4:32 PM
4:00 PM,AI687,Delhi (DEL),Air India,32B,Unknown
4:00 PM,UK853,Bengaluru (BLR),Vistara,B738 (VT-TGG),Departed 4:35 PM
4:00 PM,6E403,Nagpur (NAG),IndiGo,A320 (VT-IAX),Departed 4:59 PM
4:05 PM,UK651,Chandigarh (IXC),Vistara,A20N (VT-TNP),Departed 4:26 PM
4:10 PM,G8483,Ranchi (IXR),GoAir,A20N (VT-WGT),Departed 4:43 PM
4:10 PM,SG6282,Cochin (COK),SpiceJet,B738 (VT-SYX),Departed 5:05 PM
4:10 PM,6E5313,Kolkata (CCU),IndiGo,A20N (VT-ITH),Departed 4:38 PM
4:15 PM,WY204,Muscat (MCT),Oman Air,B788 (A4O-SB),Departed 4:49 PM
4:15 PM,6E793,Goa (GOI),IndiGo,A320 (VT-IEE),Departed 4:46 PM
4:20 PM,6E5305,Indore (IDR),IndiGo,A20N (VT-IZC),Departed 4:52 PM
4:25 PM,AI661,Goa (GOI),Air India,A20N (VT-EXI),Departed 5:19 PM
4:25 PM,G8371,Goa (GOI),GoAir,A320 (VT-GON),Departed 5:09 PM
4:25 PM,UK201,Dubai (DXB),Vistara,A20N (VT-TNK),Departed 4:57 PM
4:30 PM,6.00E+215,Ahmedabad (AMD),IndiGo,A320 (VT-IFB),Departed 5:22 PM
4:35 PM,6.00E+174,Delhi (DEL),IndiGo,A20N (VT-IZM),Departed 5:12 PM
4:40 PM,AI607,Bengaluru (BLR),Air India,A20N (VT-EXK),Departed 6:45 PM
4:45 PM,KQ211,Nairobi (NBO),Kenya Airways,B738 (5Y-CYB),Departed 5:31 PM
4:50 PM,6E712,Varanasi (VNS),IndiGo,A320 (VT-IGY),Departed 5:28 PM
4:50 PM,6E813,Guwahati (GAU),IndiGo,A20N (VT-IVO),Departed 5:49 PM
4:55 PM,6E504,Jaipur (JAI),IndiGo,A320 (VT-IHQ),Departed 5:34 PM
4:55 PM,6E834,Hyderabad (HYD),IndiGo,A320 (VT-IDT),Departed 5:45 PM
5:00 PM,AI144,Delhi (DEL),Air India,B788 (VT-ANI),Departed 5:40 PM
5:00 PM,G8244,Bhubaneswar (BBI),GoAir,A20N (VT-WJR),Departed 5:25 PM
5:00 PM,UK910,Delhi (DEL),Vistara,A20N (VT-TNR),Departed 5:39 PM
5:00 PM,ET3629,Addis Ababa (ADD),Ethiopian Cargo,B77L (ET-AVN),Departed 5:16 PM
5:05 PM,AI681,Cochin (COK),Air India,A20N (VT-EXP),Departed 7:19 PM
5:05 PM,G82506,Chandigarh (IXC),GoAir,A20N (VT-WJH),Departed 5:43 PM
5:05 PM,SG6426,Kolkata (CCU),SpiceJet,B738 (VT-SZA),Departed 5:36 PM
5:10 PM,6E598,Bhubaneswar (BBI),IndiGo,A20N (VT-IZL),Departed 6:09 PM
5:10 PM,6E6533,Bengaluru (BLR),IndiGo,A20N (VT-IJC),Departed 5:56 PM
5:15 PM,EY207,Abu Dhabi (AUH),Etihad,A321 (A6-AEJ),Departed 5:35 PM
5:15 PM,SG6704,Delhi (DEL),SpiceJet,B738 (VT-SZB),Departed 6:07 PM
5:15 PM,SG6932,Dehradun (DED),SpiceJet,B738 (VT-SYY),Departed 5:51 PM
5:20 PM,AI91,Ahmedabad (AMD),Air India,A321 (VT-PPU),Departed 6:23 PM
5:20 PM,AI667,Thiruvananthapuram (TRV),Air India,A321 (VT-PPW),Departed 5:51 PM
