Time,Flight Number,Destination,Flight Name,Aircraft,Status
1:50 PM,6E711,Goa (GOI),IndiGo,A320 (VT-IFA),Departed 2:32 PM
2:05 PM,UK775,Kolkata (CCU),Vistara,B738 (VT-TGI),Departed 2:42 PM
2:10 PM,AI617,Hyderabad (HYD),Air India,A20N (VT-CID),Departed 3:15 PM
2:10 PM,SG2548,Jabalpur (JLR),SpiceJet,DH8D (VT-SQJ),Departed 3:24 PM
2:20 PM,6E957,Thiruvananthapuram (TRV),IndiGo,A320 (VT-IDO),Departed 3:00 PM
2:25 PM,6E324,Raipur (RPR),IndiGo,A21N (VT-IUJ),Departed 3:08 PM
2:25 PM,6E342,Lucknow (LKO),IndiGo,A320 (VT-IFJ),Departed 3:34 PM
2:30 PM,UK655,Jodhpur (JDH),Vistara,B738 (VT-TGH),Departed 2:49 PM
2:35 PM,G8382,Bengaluru (BLR),GoAir,A20N (VT-WGE),Departed 3:29 PM
2:40 PM,G85,Abu Dhabi (AUH),GoAir,A20N (VT-WGJ),Departed 2:53 PM
2:40 PM,UK944,Delhi (DEL),Vistara,A20N (VT-TNJ),Departed 3:32 PM
2:40 PM,6E933,Delhi (DEL),IndiGo,A320 (VT-IFT),Departed 3:18 PM
2:45 PM,SG6354,Andal (RDP),SpiceJet,B737 (VT-SYP),Departed 3:27 PM
2:45 PM,SG6365,Kolkata (CCU),SpiceJet,B738 (VT-SLL),Departed 3:37 PM
2:45 PM,6E768,Chennai (MAA),IndiGo,A320 (VT-IGI),Departed 3:21 PM
2:50 PM,SG2872,Belgaum (IXG),SpiceJet,DH8D (VT-SQI),Departed 4:42 PM
2:50 PM,6.00E+83,Dubai (DXB),IndiGo,A320 (VT-IHM),Departed 3:12 PM
3:00 PM,I5481,Delhi (DEL),AirAsia,A320 (VT-ATF),Departed 3:54 PM
3:10 PM,AI643,Udaipur (UDR),Air India,A20N (VT-CIE),Departed 3:49 PM
3:10 PM,G82605,Goa (GOI),GoAir,A20N (VT-WGG),Departed 3:44 PM
3:10 PM,SG6437,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SYJ),Departed 3:47 PM
3:15 PM,G8397,Lucknow (LKO),GoAir,A20N (VT-WGX),Departed 4:50 PM
3:15 PM,6E419,Goa (GOI),IndiGo,A20N (VT-IVT),Departed 4:58 PM
3:20 PM,9I653,Shirdi (SAG),Alliance Air,ATR,Unknown
3:25 PM,6.00E+264,Bhopal (BHO),IndiGo,A20N (VT-IVP),Departed 4:11 PM
3:30 PM,EK507,Dubai (DXB),Emirates,B77W (A6-EGF),Departed 3:57 PM
3:30 PM,6E917,Vadodara (BDQ),IndiGo,A20N (VT-ITI),Departed 4:05 PM
3:35 PM,SG455,Goa (GOI),SpiceJet,B738 (VT-SYG),Departed 4:40 PM
3:35 PM,SG8163,Jaipur (JAI),SpiceJet,B738 (VT-SYW),Departed 4:03 PM
3:35 PM,6E6097,Delhi (DEL),IndiGo,A20N (VT-ITJ),Departed 4:01 PM
3:40 PM,AI340,Bangkok (BKK),Air India,A20N (VT-CIQ),Departed 4:59 PM
3:45 PM,UK902,Delhi (DEL),Vistara,A320 (VT-TTN),Departed 4:23 PM
3:45 PM,6E6175,Mangalore (IXE),IndiGo,A20N (VT-IZZ),Departed 4:31 PM
3:50 PM,SG6472,Udaipur (UDR),SpiceJet,B737 (VT-SYO),Departed 4:19 PM
3:55 PM,6E5375,Hyderabad (HYD),IndiGo,A20N (VT-IZK),Departed 6:30 PM
3:55 PM,6E6177,Bengaluru (BLR),IndiGo,A320 (VT-IGZ),Departed 4:53 PM
4:00 PM,AI442,Aurangabad (IXU),Air India,A319 (VT-SCN),Departed 5:26 PM
4:00 PM,AI687,Delhi (DEL),Air India,32B,Canceled
4:00 PM,UK853,Bengaluru (BLR),Vistara,B738 (VT-TGE),Departed 4:35 PM
4:00 PM,6E403,Nagpur (NAG),IndiGo,A320 (VT-IKA),Departed 5:13 PM
4:05 PM,UK651,Chandigarh (IXC),Vistara,B738 (VT-TGB),Departed 4:56 PM
4:10 PM,G8483,Ranchi (IXR),GoAir,A20N (VT-WJN),Departed 5:04 PM
4:10 PM,SG6282,Cochin (COK),SpiceJet,B738 (VT-SXC),Departed 5:10 PM
4:10 PM,6E5313,Kolkata (CCU),IndiGo,A320 (VT-IDZ),Departed 5:08 PM
4:15 PM,WY204,Muscat (MCT),Oman Air,B739 (A4O-BI),Departed 4:29 PM
4:15 PM,6E793,Goa (GOI),IndiGo,A320 (VT-IFO),Departed 4:36 PM
4:20 PM,6E5305,Indore (IDR),IndiGo,A20N (VT-IZW),Departed 5:02 PM
4:25 PM,AI661,Goa (GOI),Air India,A321 (VT-PPB),Departed 6:05 PM
4:25 PM,G8371,Goa (GOI),GoAir,A320 (VT-GOK),Departed 5:57 PM
4:25 PM,UK201,Dubai (DXB),Vistara,A20N (VT-TNV),Departed 5:01 PM
4:30 PM,6.00E+215,Ahmedabad (AMD),IndiGo,A320 (VT-IEO),Departed 5:21 PM
