Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Jaipur (JAI),Mumbai,SpiceJet,A,0,2020-02-15 20:15:00,2020-02-15 20:08:00,7.0
Mangalore (IXE),Mumbai,IndiGo,A,0,2020-02-15 20:50:00,2020-02-15 20:54:00,4.0
Mumbai,Goa (GOI),AirAsia,D,1,2020-02-15 23:05:00,2020-02-16 01:26:00,141.0
Bengaluru (BLR),Mumbai,Air India,A,0,2020-02-16 08:35:00,2020-02-16 08:22:00,13.0
Mumbai,Thiruvananthapuram (TRV),SpiceJet,D,1,2020-02-16 15:10:00,2020-02-16 15:38:00,28.0
Mumbai,Bhopal (BHO),IndiGo,D,1,2020-02-16 15:25:00,2020-02-16 15:55:00,30.0
Chennai (MAA),Mumbai,Vistara,A,0,2020-02-16 16:40:00,2020-02-16 16:45:00,5.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-16 20:00:00,2020-02-16 20:45:00,45.0
Indore (IDR),Mumbai,IndiGo,A,0,2020-02-16 21:25:00,2020-02-16 21:05:00,20.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-16 21:45:00,2020-02-16 21:29:00,16.0
Varanasi (VNS),Mumbai,Corendon Airlines,A,0,2020-02-16 22:05:00,2020-02-16 21:53:00,12.0
Muscat (MCT),Mumbai,IndiGo,A,0,2020-02-17 02:45:00,2020-02-17 02:42:00,3.0
Singapore (SIN),Mumbai,Singapore Airlines,A,0,2020-02-17 10:35:00,2020-02-17 10:25:00,10.0
Kolkata (CCU),Mumbai,IndiGo,A,0,2020-02-17 11:15:00,2020-02-17 11:06:00,9.0
Mumbai,Addis Ababa (ADD),Ethiopian Airlines,D,1,2020-02-17 11:40:00,2020-02-17 12:00:00,20.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-17 11:55:00,2020-02-17 12:21:00,26.0
Indore (IDR),Mumbai,Air India,A,0,2020-02-17 18:15:00,2020-02-17 18:45:00,30.0
Tokyo (NRT),Mumbai,All Nippon Airways,A,0,2020-02-17 18:25:00,2020-02-17 18:38:00,13.0
Mumbai,Kolkata (CCU),IndiGo,D,1,2020-02-17 22:10:00,2020-02-17 22:54:00,44.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-18 05:31:00,2020-02-18 05:32:00,1.0
Mumbai,Indore (IDR),IndiGo,D,1,2020-02-18 06:30:00,2020-02-18 06:47:00,17.0
Mumbai,Delhi (DEL),Air India,D,1,2020-02-18 07:00:00,2020-02-18 07:29:00,29.0
Kolkata (CCU),Mumbai,IndiGo,A,0,2020-02-18 08:30:00,2020-02-18 08:45:00,15.0
Lucknow (LKO),Mumbai,GoAir,A,0,2020-02-18 15:55:00,2020-02-18 16:41:00,46.0
Dubai (DXB),Mumbai,IndiGo,A,0,2020-02-18 16:05:00,2020-02-18 15:36:00,29.0
Mumbai,Delhi (DEL),SpiceJet,D,1,2020-02-19 02:20:00,2020-02-19 02:43:00,23.0
Muscat (MCT),Mumbai,IndiGo,A,0,2020-02-19 02:45:00,2020-02-19 02:43:00,2.0
Mumbai,Hong Kong (HKG),Lufthansa Cargo,D,1,2020-02-19 04:50:00,2020-02-19 05:02:00,12.0
Mumbai,Hyderabad (HYD),SpiceJet,D,1,2020-02-19 06:25:00,2020-02-19 06:58:00,33.0
Cochin (COK),Mumbai,IndiGo,A,0,2020-02-19 10:05:00,2020-02-19 09:59:00,6.0
Mumbai,Bhubaneswar (BBI),IndiGo,D,1,2020-02-19 10:20:00,2020-02-19 10:36:00,16.0
Mumbai,Kanpur (KNU),SpiceJet,D,1,2020-02-19 10:30:00,2020-02-19 10:38:00,8.0
Cochin (COK),Mumbai,GoAir,A,0,2020-02-19 10:55:00,2020-02-19 10:32:00,23.0
Mumbai,Goa (GOI),IndiGo,D,1,2020-02-19 11:20:00,2020-02-19 11:35:00,15.0
Thiruvananthapuram (TRV),Mumbai,IndiGo,A,0,2020-02-19 13:00:00,2020-02-19 12:53:00,7.0
Mumbai,Belgaum (IXG),Star Air,D,1,2020-02-19 13:35:00,2020-02-19 13:28:00,7.0
Rajkot (RAJ),Mumbai,SpiceJet,A,0,2020-02-19 14:15:00,2020-02-19 13:58:00,17.0
Mumbai,Thiruvananthapuram (TRV),Air India,D,1,2020-02-19 17:20:00,2020-02-19 17:51:00,31.0
Amritsar (ATQ),Mumbai,SpiceJet,A,0,2020-02-19 18:05:00,2020-02-19 17:46:00,19.0
Bhopal (BHO),Mumbai,IndiGo,A,0,2020-02-19 18:50:00,2020-02-19 18:41:00,9.0
Mumbai,Lucknow (LKO),GoAir,D,1,2020-02-19 19:35:00,2020-02-19 19:43:00,8.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-19 19:50:00,2020-02-19 19:27:00,23.0
Delhi (DEL),Mumbai,GoAir,A,0,2020-02-19 20:20:00,2020-02-19 19:56:00,24.0
Mumbai,Delhi (DEL),Air India,D,1,2020-02-19 21:00:00,2020-02-19 21:14:00,14.0
Mumbai,Chennai (MAA),IndiGo,D,1,2020-02-19 21:35:00,2020-02-19 21:46:00,11.0
Delhi (DEL),Mumbai,Air India,A,0,2020-02-19 22:10:00,2020-02-19 22:25:00,15.0
Coimbatore (CJB),Mumbai,SpiceJet,A,0,2020-02-19 23:40:00,2020-02-19 23:09:00,31.0
Mumbai,Kolkata (CCU),IndiGo,D,1,2020-02-20 07:45:00,2020-02-20 07:56:00,11.0
Indore (IDR),Mumbai,IndiGo,A,0,2020-02-20 08:40:00,2020-02-20 08:23:00,17.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-20 11:45:00,2020-02-20 11:24:00,21.0
Mumbai,Chennai (MAA),IndiGo,D,1,2020-02-20 14:45:00,2020-02-20 15:12:00,27.0
Chennai (MAA),Mumbai,IndiGo,A,0,2020-02-20 17:40:00,2020-02-20 18:15:00,35.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-20 20:00:00,2020-02-20 21:04:00,64.0
Kuala Lumpur (KUL),Mumbai,Malindo Air,A,0,2020-02-20 22:20:00,2020-02-20 22:09:00,11.0
Chennai (MAA),Mumbai,Vistara,A,0,2020-02-20 22:35:00,2020-02-20 22:31:00,4.0
Mumbai,Kuala Lumpur (KUL),Malaysia Airlines,D,1,2020-02-20 23:35:00,2020-02-21 00:24:00,49.0
Munich (MUC),Mumbai,Lufthansa,A,0,2020-02-20 23:55:00,2020-02-20 23:49:00,6.0
Mumbai,Delhi (DEL),Air India,D,1,2020-02-21 08:45:00,2020-02-21 10:12:00,87.0
Nagpur (NAG),Mumbai,IndiGo,A,0,2020-02-21 12:05:00,2020-02-21 11:50:00,15.0
Mumbai,Patna (PAT),IndiGo,D,1,2020-02-21 12:25:00,2020-02-21 12:45:00,20.0
Nanded (NDC),Mumbai,Trujet,A,0,2020-02-21 12:40:00,2020-02-21 13:02:00,22.0
Indore (IDR),Mumbai,Air India,A,0,2020-02-21 18:40:00,2020-02-21 19:47:00,67.0
Chandigarh (IXC),Mumbai,GoAir,A,0,2020-02-21 22:25:00,2020-02-21 23:32:00,67.0
Bengaluru (BLR),Mumbai,AirAsia,A,0,2020-02-21 23:00:00,2020-02-21 23:08:00,8.0
Singapore (SIN),Mumbai,Singapore Airlines,A,0,2020-02-21 23:40:00,2020-02-21 23:33:00,7.0
Cochin (COK),Mumbai,IndiGo,A,0,2020-02-22 04:50:00,2020-02-22 04:48:00,2.0
Hyderabad (HYD),Mumbai,Corendon Airlines,A,0,2020-02-22 07:05:00,2020-02-22 06:27:00,38.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-22 07:45:00,2020-02-22 07:52:00,7.0
Mumbai,Nagpur (NAG),IndiGo,D,1,2020-02-22 11:35:00,2020-02-22 12:22:00,47.0
Ahmedabad (AMD),Mumbai,GoAir,A,0,2020-02-22 15:10:00,2020-02-22 15:12:00,2.0
Mumbai,Addis Ababa (ADD),Ethiopian Cargo,D,1,2020-02-22 17:00:00,2020-02-22 17:33:00,33.0
Mumbai,Bhubaneswar (BBI),GoAir,D,1,2020-02-22 17:00:00,2020-02-22 17:15:00,15.0
Male (MLE),Mumbai,IndiGo,A,0,2020-02-22 17:50:00,2020-02-22 17:32:00,18.0
Bhopal (BHO),Mumbai,IndiGo,A,0,2020-02-22 18:50:00,2020-02-22 19:26:00,36.0
Mumbai,Bangkok (BKK),IndiGo,D,1,2020-02-22 21:30:00,2020-02-22 22:11:00,41.0
Mumbai,Jammu (IXJ),IndiGo,D,1,2020-02-23 10:45:00,2020-02-23 10:59:00,14.0
Mumbai,Singapore (SIN),Singapore Airlines,D,1,2020-02-23 11:50:00,2020-02-23 12:10:00,20.0
Mumbai,Raipur (RPR),IndiGo,D,1,2020-02-23 14:25:00,2020-02-23 14:36:00,11.0
Mumbai,Thiruvananthapuram (TRV),SpiceJet,D,1,2020-02-23 15:10:00,2020-02-23 15:28:00,18.0
Mumbai,Abu Dhabi (AUH),Air India,D,1,2020-02-23 22:30:00,2020-02-23 22:50:00,20.0
Addis Ababa (ADD),Mumbai,Ethiopian Airlines,A,0,2020-02-24 07:15:00,2020-02-24 06:43:00,32.0
Mumbai,Nagpur (NAG),IndiGo,D,1,2020-02-24 11:35:00,2020-02-24 12:17:00,42.0
Mumbai,Ahmedabad (AMD),GoAir,D,1,2020-02-24 12:00:00,2020-02-24 12:29:00,29.0
Hubli (HBX),Mumbai,Air India,A,0,2020-02-24 12:40:00,2020-02-24 13:45:00,65.0
Ranchi (IXR),Mumbai,GoAir,A,0,2020-02-24 16:30:00,2020-02-24 16:47:00,17.0
Mumbai,Goa (GOI),Air India,D,1,2020-02-24 16:45:00,2020-02-24 18:11:00,86.0
Mumbai,Nagpur (NAG),IndiGo,D,1,2020-02-24 20:30:00,2020-02-24 21:08:00,38.0
Mumbai,Kolkata (CCU),Air India,D,1,2020-02-24 21:00:00,2020-02-24 22:15:00,75.0
Mumbai,Goa (GOI),AirAsia,D,1,2020-02-24 23:05:00,2020-02-24 23:21:00,16.0
Hyderabad (HYD),Mumbai,Air India,A,0,2020-02-24 23:30:00,2020-02-24 23:23:00,7.0
Delhi (DEL),Mumbai,GoAir,A,0,2020-02-25 12:50:00,2020-02-25 13:29:00,39.0
Mumbai,Kandla (IXY),SpiceJet,D,1,2020-02-25 13:05:00,2020-02-25 13:38:00,33.0
Mumbai,Dehradun (DED),IndiGo,D,1,2020-02-25 13:20:00,2020-02-25 13:41:00,21.0
Varanasi (VNS),Mumbai,SpiceJet,A,0,2020-02-25 17:45:00,2020-02-25 17:48:00,3.0
Dehradun (DED),Mumbai,IndiGo,A,0,2020-02-25 18:10:00,2020-02-25 18:39:00,29.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-25 18:30:00,2020-02-25 18:48:00,18.0
Mumbai,Ahmedabad (AMD),GoAir,D,1,2020-02-25 19:25:00,2020-02-25 20:08:00,43.0
Jaipur (JAI),Mumbai,IndiGo,A,0,2020-02-25 19:30:00,2020-02-25 19:05:00,25.0
Cochin (COK),Mumbai,IndiGo,A,0,2020-02-25 20:35:00,2020-02-25 20:35:00,0.0
Mumbai,Ahmedabad (AMD),IndiGo,D,1,2020-02-25 20:55:00,2020-02-25 21:19:00,24.0
Mumbai,Bangkok (BKK),Thai Airways,D,1,2020-02-25 23:20:00,2020-02-25 23:39:00,19.0
Mumbai,Abu Dhabi (AUH),IndiGo,D,1,2020-02-26 06:20:00,2020-02-26 06:48:00,28.0
Mumbai,Patna (PAT),IndiGo,D,1,2020-02-26 12:25:00,2020-02-26 13:04:00,39.0
Belgaum (IXG),Mumbai,SpiceJet,A,0,2020-02-26 13:35:00,2020-02-26 13:54:00,19.0
Mumbai,Andal (RDP),SpiceJet,D,1,2020-02-26 14:45:00,2020-02-26 15:15:00,30.0
Ahmedabad (AMD),Mumbai,GoAir,A,0,2020-02-26 15:10:00,2020-02-26 15:28:00,18.0
Madurai (IXM),Mumbai,SpiceJet,A,0,2020-02-26 18:10:00,2020-02-26 18:09:00,1.0
Guwahati (GAU),Mumbai,SpiceJet,A,0,2020-02-26 19:15:00,2020-02-26 19:51:00,36.0
Chennai (MAA),Mumbai,Vistara,A,0,2020-02-26 22:35:00,2020-02-26 23:02:00,27.0
Mumbai,Kuala Lumpur (KUL),Malaysia Airlines,D,1,2020-02-26 23:35:00,2020-02-27 00:07:00,32.0
Amsterdam (AMS),Mumbai,KLM,A,0,2020-02-27 00:40:00,2020-02-27 01:22:00,42.0
Mumbai,Dubai (DXB),IndiGo,D,1,2020-02-27 01:25:00,2020-02-27 01:39:00,14.0
Goa (GOI),Mumbai,Air India,A,0,2020-02-27 05:25:00,2020-02-27 04:42:00,43.0
Mumbai,Indore (IDR),Air India,D,1,2020-02-27 07:05:00,2020-02-27 07:19:00,14.0
Mumbai,Udaipur (UDR),Air India,D,1,2020-02-27 14:50:00,2020-02-27 15:35:00,45.0
Lucknow (LKO),Mumbai,GoAir,A,0,2020-02-27 20:25:00,2020-02-27 21:53:00,88.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-27 21:10:00,2020-02-27 20:47:00,23.0
Mumbai,Bangkok (BKK),THAI Smile,D,0,2020-02-28 01:35:00,2020-02-28 01:23:00,12.0
Mumbai,Amritsar (ATQ),Air India,D,0,2020-02-28 01:55:00,2020-02-28 01:15:00,40.0
Singapore (SIN),Mumbai,Singapore Airlines,A,0,2020-02-28 10:35:00,2020-02-28 10:36:00,1.0
Siliguri (IXB),Mumbai,SpiceJet,A,0,2020-02-28 14:00:00,2020-02-28 14:57:00,57.0
Goa (GOI),Mumbai,IndiGo,A,0,2020-02-28 16:05:00,2020-02-28 15:59:00,6.0
Indore (IDR),Mumbai,Air India,A,0,2020-02-28 18:15:00,2020-02-28 18:32:00,17.0
Mumbai,Chennai (MAA),Air India,D,0,2020-02-28 18:40:00,2020-02-28 18:52:00,12.0
Delhi (DEL),Mumbai,Air India,A,0,2020-02-28 20:15:00,2020-02-28 20:25:00,10.0
Ranchi (IXR),Mumbai,GoAir,A,0,2020-02-28 21:45:00,2020-02-28 21:51:00,6.0
Delhi (DEL),Mumbai,Air India,A,0,2020-02-28 22:40:00,2020-02-28 23:11:00,31.0
Mumbai,Seoul (ICN),Korean Air,D,1,2020-02-29 02:30:00,2020-02-29 03:02:00,32.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-02-29 02:30:00,2020-02-29 02:49:00,19.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-02-29 12:15:00,2020-02-29 13:20:00,65.0
Mumbai,Goa (GOI),IndiGo,D,1,2020-02-29 16:15:00,2020-02-29 16:44:00,29.0
Chennai (MAA),Mumbai,SpiceJet,A,0,2020-02-29 23:45:00,2020-02-29 23:40:00,5.0
London (LHR),Mumbai,British Airways,A,0,2020-03-01 00:15:00,2020-03-01 00:08:00,7.0
Mumbai,Ahmedabad (AMD),GoAir,D,1,2020-03-01 07:35:00,2020-03-01 07:58:00,23.0
Mumbai,Jaisalmer (JSA),SpiceJet,D,1,2020-03-01 09:15:00,2020-03-01 09:20:00,5.0
Delhi (DEL),Mumbai,Air India,A,0,2020-03-01 09:20:00,2020-03-01 09:11:00,9.0
Ahmedabad (AMD),Mumbai,IndiGo,A,0,2020-03-01 11:05:00,2020-03-01 10:25:00,40.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-03-01 15:55:00,2020-03-01 16:09:00,14.0
