Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Guangzhou (CAN),Mumbai,RwandAir,A,2,2020-02-02 04:10:00,,
Sharjah (SHJ),Mumbai,Air Arabia,A,0,2020-02-02 04:15:00,2020-02-02 04:13:00,2.0
Victoria (SEZ),Mumbai,Air Seychelles,A,0,2020-02-02 04:15:00,2020-02-02 04:17:00,2.0
Doha (DOH),Mumbai,IndiGo,A,0,2020-02-02 04:15:00,2020-02-02 04:36:00,21.0
Mumbai,Dubai (DXB),Emirates,D,1,2020-02-02 04:15:00,2020-02-02 04:41:00,26.0
Mumbai,Sana'a (SAH),Yemenia,D,2,2020-02-02 04:15:00,,
Abu Dhabi (AUH),Mumbai,IndiGo,A,0,2020-02-02 04:20:00,2020-02-02 04:15:00,5.0
Chennai (MAA),Mumbai,SpiceXpress,A,0,2020-02-02 04:20:00,2020-02-02 04:10:00,10.0
Muscat (MCT),Mumbai,Air India,A,0,2020-02-02 04:25:00,2020-02-02 08:25:00,240.0
Ahmedabad (AMD),Mumbai,Blue Dart Aviation,A,0,2020-02-02 04:25:00,2020-02-02 04:42:00,17.0
Mumbai,Sharjah (SHJ),SpiceJet,D,4,2020-02-02 04:25:00,,
Colombo (CMB),Mumbai,Air India,A,0,2020-02-02 04:30:00,2020-02-02 05:44:00,74.0
Mumbai,Abu Dhabi (AUH),Etihad,D,1,2020-02-02 04:40:00,2020-02-02 04:55:00,15.0
Kannur (CNN),Mumbai,GoAir,A,0,2020-02-02 04:50:00,2020-02-02 04:53:00,3.0
Cochin (COK),Mumbai,IndiGo,A,0,2020-02-02 04:50:00,2020-02-02 04:39:00,11.0
Mumbai,Bengaluru (BLR),SpiceXpress,D,1,2020-02-02 04:50:00,2020-02-02 05:32:00,42.0
Bahrain (BAH),Mumbai,Gulf Air,A,0,2020-02-02 04:55:00,2020-02-02 04:47:00,8.0
Delhi (DEL),Mumbai,GoAir,A,0,2020-02-02 04:55:00,2020-02-02 05:09:00,14.0
Mumbai,Goa (GOI),GoAir,D,1,2020-02-02 04:55:00,2020-02-02 04:53:00,2.0
Mumbai,Sharjah (SHJ),Air Arabia,D,1,2020-02-02 04:55:00,2020-02-02 05:09:00,14.0
Mumbai,Kolkata (CCU),IndiGo,D,1,2020-02-02 05:00:00,2020-02-02 04:59:00,1.0
Mumbai,Goa (GOI),Air India,D,1,2020-02-02 05:05:00,2020-02-02 08:01:00,176.0
Mumbai,Dubai (DXB),flydubai,D,1,2020-02-02 05:05:00,2020-02-02 05:23:00,18.0
Mumbai,Kuwait City (KWI),IndiGo,D,1,2020-02-02 05:05:00,2020-02-02 06:25:00,80.0
Istanbul (IST),Mumbai,Turkish Airlines,A,0,2020-02-02 05:10:00,2020-02-02 04:45:00,25.0
Riyadh (RUH),Mumbai,IndiGo,A,0,2020-02-02 05:10:00,2020-02-02 05:14:00,4.0
Mumbai,Bengaluru (BLR),Blue Dart Aviation,D,1,2020-02-02 05:10:00,2020-02-02 05:41:00,31.0
Mumbai,Cochin (COK),GoAir,D,1,2020-02-02 05:10:00,2020-02-02 05:17:00,7.0
Mumbai,Kigali (KGL),RwandAir,D,1,2020-02-02 05:10:00,2020-02-02 05:59:00,49.0
Mumbai,Vadodara (BDQ),IndiGo,D,1,2020-02-02 05:15:00,2020-02-02 05:18:00,3.0
Mumbai,Delhi (DEL),AirAsia,D,1,2020-02-02 05:20:00,2020-02-02 05:21:00,1.0
Mumbai,Jaipur (JAI),SpiceJet,D,1,2020-02-02 05:20:00,2020-02-02 05:37:00,17.0
Mumbai,Jaipur (JAI),IndiGo,D,1,2020-02-02 05:20:00,2020-02-02 05:27:00,7.0
Mumbai,Bengaluru (BLR),SpiceXpress,D,1,2020-02-02 05:20:00,2020-02-02 05:25:00,5.0
Goa (GOI),Mumbai,Air India,A,0,2020-02-02 05:25:00,2020-02-02 06:17:00,52.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-02 05:25:00,2020-02-02 05:11:00,14.0
Mumbai,Cochin (COK),Air India,D,1,2020-02-02 05:25:00,2020-02-02 05:33:00,8.0
Mumbai,Hyderabad (HYD),Blue Dart Aviation,D,1,2020-02-02 05:25:00,2020-02-02 05:47:00,22.0
Mumbai,Aurangabad (IXU),Air India,D,1,2020-02-02 05:31:00,2020-02-02 05:56:00,25.0
Mumbai,Ahmedabad (AMD),Air India,D,1,2020-02-02 05:31:00,2020-02-02 08:04:00,153.0
Mumbai,Victoria (SEZ),Air Seychelles,D,1,2020-02-02 05:31:00,2020-02-02 05:51:00,20.0
Mumbai,Kolkata (CCU),SpiceJet,D,1,2020-02-02 05:31:00,2020-02-02 05:40:00,9.0
Nairobi (NBO),Mumbai,Kenya Airways,A,0,2020-02-02 05:35:00,2020-02-02 06:45:00,70.0
Riyadh (RUH),Mumbai,Saudia Cargo,A,0,2020-02-02 05:35:00,2020-02-02 05:07:00,28.0
Mumbai,Nagpur (NAG),Air India,D,1,2020-02-02 05:35:00,2020-02-02 05:53:00,18.0
Mumbai,Ranchi (IXR),IndiGo,D,1,2020-02-02 05:35:00,2020-02-02 05:38:00,3.0
Bangkok (DMK),Mumbai,Thai Lion Air,A,0,2020-02-02 05:40:00,2020-02-02 06:21:00,41.0
Mumbai,Chennai (MAA),Air India,D,1,2020-02-02 05:40:00,2020-02-02 15:43:00,603.0
Muscat (MCT),Mumbai,GoAir,A,0,2020-02-02 05:45:00,2020-02-02 05:32:00,13.0
Mumbai,Jaipur (JAI),GoAir,D,1,2020-02-02 05:45:00,2020-02-02 06:05:00,20.0
Mumbai,Hyderabad (HYD),SpiceJet,D,1,2020-02-02 05:45:00,2020-02-02 06:04:00,19.0
