Time,FlightNumber,Source,Flight Name,Aircraft,Status
9:15 AM,6E568,Vadodara (BDQ),IndiGo,A320 (VT-IFV),Landed 8:54 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A320 (VT-IGX),Landed 8:54 AM
9:20 AM,AI628,Nagpur (NAG),Air India,A321 (VT-PPT),Landed 9:05 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SLO),Landed 9:33 AM
9:25 AM,AI912,Dubai (DXB),Air India,B788 (VT-ANC),Landed 9:08 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SZM),Landed 9:42 AM
9:40 AM,AI569,Chennai (MAA),Air India,A20N (VT-EXS),Landed 9:19 AM
9:40 AM,AI616,Hyderabad (HYD),Air India,A20N (VT-EXF),Landed 9:52 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A320 (VT-IAN),Landed 9:28 AM
9:45 AM,G8348,Cochin (COK),GoAir,A20N (VT-WGJ),Landed 9:31 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SXB),Landed 9:45 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A20N (VT-IZQ),Landed 9:18 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A320 (VT-IFK),Landed 9:47 AM
9:55 AM,6.00E+196,Bengaluru (BLR),IndiGo,A320 (VT-IGJ),Landed 9:38 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WGD),Landed 9:56 AM
9:55 AM,UK862,Goa (GOI),Vistara,B738 (VT-TGE),Landed 9:50 AM
9:55 AM,UK874,Hyderabad (HYD),Vistara,A20N (VT-TNV),Landed 9:37 AM
10:05 AM,I5716,Delhi (DEL),AirAsia,A320 (VT-RED),Landed 9:54 AM
10:05 AM,6.00E+298,Cochin (COK),IndiGo,A20N (VT-IZY),Landed 10:01 AM
10:05 AM,6E685,Lucknow (LKO),IndiGo,A320 (VT-IEX),Landed 11:12 AM
10:10 AM,G8334,Delhi (DEL),GoAir,A20N (VT-WGQ),Landed 10:00 AM
10:15 AM,AI665,Delhi (DEL),Air India,A321 (VT-PPA),Unknown
10:15 AM,6E1708,Doha (DOH),IndiGo,A21N (VT-IUG),Landed 10:32 AM
10:20 AM,6E5387,Indore (IDR),IndiGo,A320 (VT-IFC),Landed 9:49 AM
10:30 AM,6.00E+214,Ahmedabad (AMD),IndiGo,A320 (VT-IEV),Landed 10:14 AM
10:35 AM,AI604,Bengaluru (BLR),Air India,A20N (VT-EXN),Landed 10:12 AM
10:35 AM,SG8723,Delhi (DEL),SpiceJet,B738 (VT-SLN),Landed 10:43 AM
10:35 AM,SQ422,Singapore (SIN),Singapore Airlines,A359 (9V-SJA),Landed 10:16 AM
10:40 AM,G8389,Jaipur (JAI),GoAir,A20N (VT-WGG),Landed 10:21 AM
10:40 AM,6.00E+179,Delhi (DEL),IndiGo,A320 (VT-INS),Landed 10:35 AM
10:45 AM,G8459,Ahmedabad (AMD),GoAir,A20N (VT-WGF),Landed 10:28 AM
10:45 AM,SG6432,Hyderabad (HYD),SpiceJet,B737 (VT-SYO),Landed 10:08 AM
10:50 AM,G8141,Nagpur (NAG),GoAir,A20N (VT-WJK),Landed 10:24 AM
10:50 AM,AI682,Cochin (COK),Air India,A20N (VT-EXU),Landed 10:53 AM
10:50 AM,SG488,Kolkata (CCU),SpiceJet,B739 (VT-SPU),Landed 10:40 AM
11:00 AM,MH6244,Delhi (DEL),MASkargo,A332 (9M-MUB),Landed 11:04 AM
11:00 AM,6E782,Chennai (MAA),IndiGo,A320 (VT-IGL),Landed 10:32 AM
11:00 AM,6E5302,Bhopal (BHO),IndiGo,A20N (VT-IZD),Landed 10:43 AM
11:05 AM,6E984,Ahmedabad (AMD),IndiGo,A320 (VT-IDP),Landed 10:48 AM
11:05 AM,6E5316,Ranchi (IXR),IndiGo,A320 (VT-IDY),Landed 10:47 AM
11:10 AM,UK963,Delhi (DEL),Vistara,A320 (VT-TTN),Landed 11:05 AM
11:15 AM,BA199,London (LHR),British Airways,B772 (G-YMMS),Landed 11:23 AM
11:15 AM,6E375,Bhubaneswar (BBI),IndiGo,A20N (VT-IVA),Landed 10:51 AM
11:15 AM,6E5379,Kolkata (CCU),IndiGo,A20N (VT-IJP),Landed 11:07 AM
11:20 AM,AI966,Hyderabad (HYD),Air India,B744 (VT-ESP),Landed 10:21 AM
11:20 AM,UK852,Bengaluru (BLR),Vistara,B738 (VT-TGG),Landed 11:20 AM
11:20 AM,6E734,Bengaluru (BLR),IndiGo,A20N (VT-IJL),Landed 10:57 AM
11:25 AM,6E748,Udaipur (UDR),IndiGo,A20N (VT-IZF),Landed 11:18 AM
11:30 AM,6E965,Jaipur (JAI),IndiGo,A20N (VT-ITT),Landed 11:10 AM
11:35 AM,G8465,Port Blair (IXZ),GoAir,A320 (VT-GOK),Landed 10:59 AM
11:35 AM,6E608,Hyderabad (HYD),IndiGo,A320 (VT-IGI),Landed 11:41 AM
11:40 AM,6.00E+181,Delhi (DEL),IndiGo,A320 (VT-IEE),Landed 11:50 AM
11:40 AM,G822,Phuket (HKT),GoAir,A20N (VT-WJH),Landed 11:28 AM
11:40 AM,UK927,Delhi (DEL),Vistara,A20N (VT-TNW),Landed 11:31 AM
11:40 AM,9I626,Bhuj (BHJ),Alliance Air,AT76 (VT-RKG),Landed 11:42 AM
11:45 AM,SG6290,Dehradun (DED),SpiceJet,B738 (VT-SYC),Landed 11:47 AM
12:00 PM,SG6281,Jammu (IXJ),SpiceJet,B737 (VT-SYU),Landed 12:18 PM
12:05 PM,6E334,Hyderabad (HYD),IndiGo,A20N (VT-ITZ),Landed 11:54 AM
12:05 PM,6E5326,Nagpur (NAG),IndiGo,A20N (VT-IVN),Landed 11:45 AM
12:05 PM,6E6219,Guwahati (GAU),IndiGo,A20N (VT-ITD),Landed 11:35 AM
12:10 PM,BA135,London (LHR),British Airways,B772 (G-YMMP),Landed 12:17 PM
12:10 PM,SG242,Kolkata (CCU),SpiceJet,B738 (VT-SYJ),Landed 11:55 AM
12:10 PM,6E346,Bengaluru (BLR),IndiGo,A320 (VT-IEU),Landed 12:17 PM
12:15 PM,AI865,Delhi (DEL),Air India,A20N (VT-EXL),Landed 12:19 PM
12:20 PM,AI676,Kolkata (CCU),Air India,A20N (VT-CID),Landed 12:31 PM
12:20 PM,6E5339,Delhi (DEL),IndiGo,A20N (VT-IZR),Landed 12:05 PM
12:30 PM,SG2874,Porbandar (PBD),SpiceJet,DH8D (VT-SUP),Unknown
12:30 PM,6E711,Varanasi (VNS),IndiGo,A20N (VT-ITY),Landed 1:51 PM
12:35 PM,I5304,Bengaluru (BLR),AirAsia,A320 (VT-PNQ),Landed 12:23 PM
12:35 PM,UK995,Delhi (DEL),Vistara,A20N (VT-TNJ),Landed 1:37 PM
12:35 PM,6.00E+223,Delhi (DEL),IndiGo,A20N (VT-ITG),Landed 1:42 PM
12:40 PM,G8338,Delhi (DEL),GoAir,A20N (VT-WGY),Landed 12:25 PM
12:40 PM,2T517,Nanded (NDC),Trujet,AT75 (VT-TMK),Landed 12:25 PM
12:45 PM,AI694,Hubli (HBX),Air India,A20N (VT-CIP),Landed 1:12 PM
12:55 PM,G8311,Goa (GOI),GoAir,A20N (VT-WJN),Landed 12:49 PM
12:55 PM,SG6353,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SLL),Landed 1:24 PM
1:00 PM,AI144,New York (EWR),Air India,B77W (VT-ALT),Landed 12:35 PM
1:00 PM,6.00E+176,Thiruvananthapuram (TRV),IndiGo,A20N (VT-IVX),Landed 12:47 PM
1:05 PM,OG111,Belgaum (IXG),Star Air,E145 (VT-GSE),Landed 12:45 PM
1:05 PM,UK772,Kolkata (CCU),Vistara,B738 (VT-TGD),Landed 1:01 PM
1:05 PM,6E6328,Udaipur (UDR),IndiGo,A320 (VT-IEL),Landed 12:38 PM
1:10 PM,SG8164,Jodhpur (JDH),SpiceJet,B738 (VT-SGQ),Landed 12:53 PM
