TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
5:05 PM,6.00E+189,Delhi (DEL),IndiGo,A320 (VT-IEX),Landed 4:55 PM
5:10 PM,6E579,Varanasi (VNS),IndiGo,A20N (VT-IVW),Landed 4:57 PM
5:10 PM,6E6559,Srinagar (SXR),IndiGo,A20N (VT-ITY),Landed 5:19 PM
5:20 PM,6E361,Bengaluru (BLR),IndiGo,A20N (VT-ITL),Landed 5:13 PM
5:20 PM,6E463,Chandigarh (IXC),IndiGo,A20N (VT-IJU),Landed 5:03 PM
5:25 PM,9I654,Shirdi (SAG),Alliance Air,AT76 (VT-RKG),Landed 5:10 PM
5:40 PM,SG415,Gorakhpur (GOP),SpiceJet,B738 (VT-SZI),Landed 5:42 PM
5:40 PM,UK933,Delhi (DEL),Vistara,A20N (VT-TNQ),Landed 5:32 PM
5:40 PM,6E5341,Chennai (MAA),IndiGo,A20N (VT-IZZ),Landed 6:03 PM
5:45 PM,EK502,Dubai (DXB),Emirates,B77W (A6-ECS),Landed 5:39 PM
5:45 PM,SG247,Varanasi (VNS),SpiceJet,B738 (VT-SXB),Landed 5:58 PM
5:45 PM,6E5353,Kolkata (CCU),IndiGo,A320 (VT-IHM),Landed 5:35 PM
5:50 PM,AI644,Udaipur (UDR),Air India,A319 (VT-SCP),Landed 5:17 PM
5:50 PM,AI672,Chennai (MAA),Air India,A20N (VT-CIQ),Landed 5:56 PM
5:50 PM,I5313,Chennai (MAA),AirAsia,A320 (VT-MLE),Landed 5:34 PM
5:50 PM,I5559,Delhi (DEL),AirAsia,A320 (VT-SIN),Landed 6:42 PM
5:50 PM,6E1784,Male (MLE),IndiGo,A320 (VT-IFD),Landed 6:13 PM
6:05 PM,SG6372,Amritsar (ATQ),SpiceJet,B738 (VT-SXC),Landed 5:45 PM
6:05 PM,SG8161,Delhi (DEL),SpiceJet,B738 (VT-SGG),Landed 6:19 PM
6:05 PM,6E5318,Lucknow (LKO),IndiGo,A20N (VT-IZP),Landed 6:10 PM
6:10 PM,SG6379,Madurai (IXM),SpiceJet,B737 (VT-SLP),Landed 9:35 PM
6:10 PM,6E981,Dehradun (DED),IndiGo,A320 (VT-IHC),Landed 6:32 PM
6:15 PM,AI636,Indore (IDR),Air India,A319 (VT-SCS),Landed 6:55 PM
6:15 PM,G8320,Bengaluru (BLR),GoAir,A320 (VT-GOJ),Landed 5:55 PM
6:15 PM,UK656,Jodhpur (JDH),Vistara,B738 (VT-TGI),Landed 6:24 PM
6:15 PM,6E755,Delhi (DEL),IndiGo,A320 (VT-IKE),Landed 6:16 PM
6:20 PM,G82606,Goa (GOI),GoAir,A320 (VT-GOS),Landed 5:50 PM
